number,value,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,gamma,reg_lambda,std_err
32,0.8370829917332787,0.08075425060465931,10,7,0.7964803621405736,0.510315913055092,1.300158659870116e-8,0.026409551091868818,0.0029546872794146343
22,0.8361072111771538,0.0870922113279812,6,1,0.6790188630344346,0.551215213444084,5.585681816603909e-4,1.259831610895258e-7,0.0032855554820469283
5,0.8348705976292956,0.14473621369106696,4,7,0.9089395630173385,0.6809731855988502,1.5817770651651195e-5,3.5242794494060594e-7,0.00279045855820324
35,0.8332797768497643,0.011175874250475318,8,5,0.6814834847580642,0.7554030918516219,3.165168104438197e-8,2.801628545182865e-4,0.0028817325663249922
9,0.8305924732697957,0.012556871608830988,7,7,0.7851435797289014,0.8386931161396205,0.011873995601918685,1.8468763704143155e-5,0.002900491028979943
2,0.8301045616417299,0.4002835006848909,3,3,0.9319653517566622,0.8843230264261366,2.708727240269408e-6,0.03835759399257031,0.0025760267872495047
40,0.828246662994466,0.22976689393399283,3,3,0.58706764515955,0.7298563987016677,1.3494426400939236e-5,6.864928583597061e-8,0.0029192535845331087
36,0.8266060326569652,0.3736064846417867,2,9,0.9408317524008453,0.5294565455056727,0.06685547949804183,0.0018324144270619853,0.003062008060270716
50,0.8264587710084034,0.17408863209886477,6,9,0.5231430476298556,0.7916759234853089,2.3964163891120672e-5,0.005000905582469231,0.0032041102001999578
21,0.8264133488761358,0.2048276433092542,3,3,0.3882922212826089,0.6550650874152779,0.605181838765515,6.0069255957324146e-5,0.0030495495574572005
7,0.8258296718077475,0.1378610907820985,10,7,0.5986611570930108,0.8307618528604508,0.017990030457577737,0.05830242064387539,0.0035440408763489245
30,0.8214433883309421,0.5603166831913404,2,3,0.6170652677305043,0.6456977318041026,2.7796049124957307e-8,7.28957907902074e-7,0.0027431924014312855
6,0.8206283839755414,0.07671054234029724,10,4,0.13849258651025595,0.8984473684802652,3.952050854902391e-4,5.9533036110359346e-8,0.0035855033747573296
46,0.8194054878048781,0.5758377839601598,2,7,0.5057885224698112,0.598959401063621,2.1476623207851334e-8,4.971667294652857e-5,0.002113420997214043
15,0.8165270910193345,0.4151947881584056,2,2,0.30259412110317496,0.8413236892782152,4.522945860283537e-4,1.9069865272601396e-8,0.0032532905214351067
29,0.8154518194472912,0.4564410061528906,3,10,0.4026620557066053,0.8448376410640777,8.116603659154797e-8,0.0036117167687861546,0.0031790402244911337
4,0.8105913630696181,0.4821222242084332,7,8,0.8586270823609083,0.5304219196550548,0.015760784887908517,7.984278539312221e-7,0.001879651243607359
42,0.8099524321923891,0.2330765859456733,9,10,0.34516298449598254,0.5518764196895063,0.026026102542231172,0.10255245853555009,0.00296186949700079
3,0.8073084477693516,0.6223167961719446,2,2,0.2670392965199426,0.8495627963915467,5.448342093971014e-4,4.883528606516226e-5,0.0041889808990637776
18,0.8058593483124957,0.6570217609847896,9,5,0.9863579808967188,0.7714225384406745,0.025783010870886837,7.384296891438873e-7,0.002627707419611875
27,0.8047679041128646,0.36155032474081966,5,8,0.30593422905076295,0.5235769940540195,8.654340326756072e-6,0.10699502389044944,0.0033245300276788826
8,0.8038499393659903,0.39918675028020517,6,1,0.6557496659224853,0.5393274530768395,1.6416418009662502e-8,0.031178489440084247,0.003460347621257488
20,0.8034448017011683,0.27340293042594566,9,3,0.4396714638220146,0.6586315765045583,0.13997119310170097,0.007522609385121219,0.0021452089678270204
37,0.8033219324315092,0.020929995093028994,2,5,0.48555410362314433,0.5290222309529782,4.303861875077647e-6,2.6946218382243572e-6,0.00288863488593731
14,0.8026111801427889,0.42850179250352083,3,6,0.19081842252053322,0.8943160088732839,3.718723978670187e-7,0.01638698114068114,0.0034824020513500573
1,0.8013714708444354,0.650433810565155,9,3,0.8601700124097988,0.6653842753730714,2.7751189441240577e-8,1.3433290064898478e-7,0.002737161153593791
39,0.8006545377297261,0.5280140918772668,9,8,0.7652287662029267,0.7152716854587198,4.62569775247174e-4,5.924468596785924e-8,0.0027501049800028317
26,0.8000150944524151,0.17421959615079688,8,7,0.11058474108576775,0.7158402998931706,0.01738063934453694,1.1325118979473209e-4,0.00273816671126311
11,0.7982737347987976,0.7667698773788288,10,4,0.8526756408857181,0.7731586238369346,1.2506817826948804e-8,0.44580448315835897,0.0023202947659866895
24,0.7973485644257703,0.9429805946606211,5,10,0.9080720014637336,0.7334692826494574,6.128589597078543e-7,2.6494366527389515e-6,0.0028280639558627705
31,0.7939715703354513,0.9644323566788807,7,9,0.9970775675261393,0.6117947828024626,0.06837613138163147,7.560961351884885e-4,0.0027755740931935196
34,0.7931791222586596,0.9484988047089428,9,4,0.9665591431548819,0.6657855989411473,9.060974737003723e-8,5.847492423153917e-6,0.0024596578137442097
10,0.7910907823495252,0.6240038946410641,3,5,0.2842873136745766,0.7024098036810755,0.13611316364545653,0.12034799202612603,0.002394796977434771
38,0.7899118031358885,0.934519475295674,2,4,0.25322866139467803,0.7540463836863638,9.589556333049448e-5,1.5705432504331074e-7,0.0026951048700341452
17,0.7897812265149963,0.9611151744937524,8,1,0.9131823143456131,0.5640733313746751,2.8254182226910547e-6,0.006118424727847633,0.0027125900062478538
45,0.7888977847236456,0.6285926757007837,5,8,0.4818156235152856,0.6987570746801793,7.035593243970011e-4,6.108619054058327e-7,0.0031719407452062997
43,0.7861310164309626,0.8652982537844218,5,6,0.7470097346929834,0.8630510142073036,3.2708080594255666e-4,5.579319023451108e-6,0.002388435949826589
16,0.7786440399330464,0.544295687393751,7,1,0.5058847370790318,0.5096210493706167,1.7061027267087106e-8,0.029039934692176736,0.0036061878645696696
13,0.7723593888775022,0.8279040382569656,9,9,0.644631860521622,0.584684359561652,0.014017455819834096,0.018046761756291326,0.0019807167451097074
19,0.7720270120243219,0.5512481456808745,6,10,0.32075940952636306,0.7383999193087221,7.847187327726551e-5,5.2188069547469756e-8,0.002730443132475372
33,0.7626933029309285,0.9562509744893759,7,3,0.6695403290679678,0.6443533448502421,5.37860389186368e-6,4.7361533398751525e-4,0.0014788217333745822
25,0.7562338273724124,0.8853822345263325,4,6,0.30922763659618796,0.7501503533683718,0.039265168039346814,0.006491453282622838,0.003339100480881764
44,0.7537694605281137,0.8858364084945061,5,1,0.515012242179364,0.7080472961068154,1.5025633240292265e-7,0.06370582839046558,0.0027537742327918774
12,0.7508956006182961,0.7463974003726617,4,8,0.2036344044376165,0.6936695584096014,0.0010695276609615002,9.278056307829801e-8,0.0025598022336223935
23,0.7437865298558448,0.8202093951753341,7,7,0.35644333825912333,0.8961758838035166,2.344542763024622e-6,1.1037559092544587e-7,0.002056154784887182
41,0.7428148271503723,0.9853095358400605,6,10,0.340973128634505,0.7777619953267276,7.865945488491727e-6,3.11090352678633e-4,0.0037731334381204172
47,0.7366921158707386,0.47613590125460176,8,2,0.18054657327011228,0.8351211710833013,0.005509948014801032,1.0163887858691402e-7,0.0028267199690912063
28,0.7336750828380132,0.7506140669877641,5,5,0.1886962486896664,0.5004475984722376,0.009267844056158922,0.009236913071098547,0.0024067397327202956
48,0.731819212441074,0.703660635096021,10,4,0.2332770064705983,0.7966099720448256,0.8647891359338865,1.2254772715895855e-7,0.0036449376434187497
49,0.7218122416649587,0.7999558686697855,9,3,0.15596904531121256,0.5653834368102253,4.252766626151434e-5,0.009652201191820874,0.004791129825990345
